name,jersey_number,position,status,height,weight,age,experience,college,team,data_source,scraped_at,twitter_handle,instagram_handle,tiktok_handle,youtube_handle,twitter_followers,instagram_followers,tiktok_followers,youtube_subscribers,twitter_following,instagram_following,tiktok_following,twitter_verified,instagram_verified,twitter_url,instagram_url,tiktok_url,youtube_url,draft_pick,draft_round,draft_team,draft_year,contract_value,contract_years,current_salary,cap_hit,guaranteed_money,championships,all_pros,pro_bowls,awards,career_pass_yards,career_pass_tds,career_pass_ints,career_pass_rating,career_rush_yards,career_rush_tds,career_receptions,career_rec_yards,career_rec_tds,career_tackles,career_sacks,career_interceptions,career_games,career_starts,career_pass_attempts,career_pass_completions,passing_yards_2023,passing_tds_2023,rushing_yards_2023,rushing_tds_2023,receiving_yards_2023,receiving_tds_2023,tackles_2023,sacks_2023,interceptions_2023,birth_date,birth_place,high_school,rookie_of_year,mvp_awards,hall_of_fame,signing_bonus,dead_money,wikipedia_url,nfl_com_url,espn_url,pff_url,spotrac_url,google_news_url,news_headline_count,recent_headlines,news_bio_snippets,data_sources,last_updated,data_quality_score,comprehensive_enhanced,brand_power,proof,proximity,velocity,risk,total_gravity
Nik Bonitto,15.0,LB,ACT,"6'3""",240,26.0,4,Oklahoma,broncos,real_data_only,2025-07-21T14:05:22.003984,,,,,,,,,,,,,,,,,,64.0,2.0,Denver Broncos,2022.0,7702284.0,4.0,1910640.0,,4321184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Contract Analysis', 'AI Draft Analysis']",2025-07-21T14:05:22.003971,1.3,True,6.0,9.2,10.5,47.2,71.0,20.5
Adam Trautman,82.0,TE,ACT,"6'5""",253,28.0,6,Dayton,broncos,real_data_only,2025-07-21T14:44:54.763066,,,,,,,,,,,,,,,,,,105.0,3.0,New Orleans Saints,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:44:54.763051,1.1,True,6.0,13.8,11.6,26.2,86.0,20.5
Malcolm Roach,97.0,DT,ACT,"6'3""",290,28.0,6,Texas,broncos,real_data_only,2025-07-21T14:36:02.493186,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:36:02.493172,0.9,True,6.0,12.5,10.5,30.0,86.0,20.5
J.B. Brown,50.0,LB,ACT,"6'2""",230,,R,Kansas,broncos,real_data_only,2025-07-21T14:05:52.810256,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Achievement Analysis', 'AI Draft Analysis']",2025-07-21T14:05:52.810241,0.9,True,31.0,9.6,10.5,10.0,60.5,20.3
Joseph Michalski,68.0,C,ACT,"6'5""",305,,R,Oklahoma State,broncos,real_data_only,2025-07-21T14:28:05.152170,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:28:05.152155,0.8,True,6.0,25.0,10.5,20.0,60.5,20.2
Clay Webb,64.0,G,ACT,"6'3""",312,,R,Jacksonville State,broncos,real_data_only,2025-07-21T14:49:55.020441,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:49:55.020430,0.8,True,6.0,25.0,10.5,20.0,60.5,20.2
Xavier Truss,71.0,G,ACT,"6'7""",320,,R,Georgia,broncos,real_data_only,2025-07-21T14:45:26.729191,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:45:26.729176,0.8,True,6.0,25.0,10.5,20.0,60.5,20.2
Marques Cox,70.0,OT,ACT,"6'5""",312,,R,Kentucky,broncos,real_data_only,2025-07-21T14:08:09.370609,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:08:09.370594,0.8,True,6.0,25.0,10.5,20.0,60.5,20.2
Marvin Mims Jr.,19.0,WR,ACT,"5'11""",182,25.0,3,Oklahoma,broncos,real_data_only,2025-07-21T14:29:11.186384,,,,,,,,,,,,,,,,,,63.0,2.0,Denver Broncos,2023.0,6853030.0,4.0,1150546.0,,3455641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Contract Analysis', 'AI Draft Analysis']",2025-07-21T14:29:11.186373,1.3,True,7.2,6.2,10.5,50.5,67.0,20.1
Dre Greenlaw,57.0,LB,ACT,"6'0""",230,29.0,7,Arkansas,broncos,real_data_only,2025-07-21T14:17:26.044820,,,,,,,,,,,,,,,,,,148.0,5.0,San Francisco 49ers,2019.0,18.0,2.0,13.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Contract Analysis', 'AI Draft Analysis']",2025-07-21T14:17:26.044806,1.3,True,6.0,16.0,10.5,21.9,71.0,18.8
