name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
Dwight McGlothern,vikings,CB,29.0,"6'2""",185,,,Arkansas,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.685850,600.0,0.0,1050.0,0.0,4100.0,7.7
Byron Murphy,vikings,CB,7.0,"5'11""",190,,,Washington,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.687029,600.0,0.0,1050.0,0.0,4400.0,8.0
Jalen Nailor,vikings,WR,1.0,"6'0""",190,,,Michigan State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.687276,720.0,0.0,1050.0,0.0,6350.0,10.2
Bryson Nesbit,vikings,TE,46.0,"6'5""",238,,,North Carolina,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.687644,600.0,0.0,1160.0,0.0,7550.0,11.4
Jeff Okudah,vikings,CB,21.0,"6'1""",205,,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.687875,600.0,0.0,1050.0,0.0,4100.0,7.7
Gabriel Murphy,vikings,LB,59.0,"6'2""",247,,,UCLA,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.686784,600.0,0.0,1050.0,0.0,6050.0,9.7
Josh Oliver,vikings,TE,84.0,"6'5""",259,,,San Jose State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.688500,600.0,0.0,1160.0,0.0,7250.0,11.1
Harrison Phillips,vikings,DT,97.0,"6'3""",307,,,Stanford,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.689168,600.0,0.0,1050.0,0.0,7250.0,10.8
Mishael Powell,vikings,SAF,40.0,"6'1""",210,,,Miami,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.689501,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Myles Price,vikings,WR,31.0,"5'9""",183,,,Indiana,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.689843,720.0,0.0,1050.0,0.0,6050.0,10.0
Brian ONeill,vikings,OT,75.0,"6'7""",310,,,Pittsburgh,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.688681,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Ivan Pace Jr.,vikings,LB,,"5'10""",231,,,Cincinnati,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.688985,600.0,0.0,1050.0,0.0,5950.0,9.6
Will Reichard,vikings,K,16.0,"6'1""",187,,,Alabama,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.690740,600.0,2500.0,1050.0,2000.0,6800.0,20.9
Giovanni Ricci,vikings,TE,,"6'3""",240,,,Western Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.691304,600.0,0.0,1160.0,0.0,7450.0,11.3
Isaiah Rodgers,vikings,CB,2.0,"5'10""",176,,,UMass Amherst,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.691766,600.0,0.0,1050.0,0.0,4400.0,8.0
