name,jersey_number,position,status,height,weight,age,experience,college,team,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
Adam Trautman,82.0,TE,ACT,"6'5""",253,,6,Dayton,broncos,nfl.com,2025-07-21T13:58:17.700940,6.0,13.8,11.6,0.0,78.5,15.8
Courtland Sutton,14.0,WR,ACT,"6'4""",216,,8,SMU,broncos,nfl.com,2025-07-21T13:58:17.700908,7.2,16.7,10.5,0.0,63.5,15.2
Trent Sherfield,5.0,WR,ACT,"6'1""",206,,8,Vanderbilt,broncos,nfl.com,2025-07-21T13:58:17.700846,7.2,16.7,10.5,0.0,63.5,15.2
Malcolm Roach,97.0,DT,ACT,"6'3""",290,,6,Texas,broncos,nfl.com,2025-07-21T13:58:17.700816,6.0,12.5,10.5,0.0,78.5,15.2
Alex Singleton,49.0,LB,ACT,"6'2""",240,,7,Montana State,broncos,nfl.com,2025-07-21T13:58:17.700861,6.0,16.0,10.5,0.0,63.5,14.8
Dre Greenlaw,57.0,LB,ACT,"6'0""",230,,7,Arkansas,broncos,nfl.com,2025-07-21T13:58:17.700535,6.0,16.0,10.5,0.0,63.5,14.8
Justin Strnad,40.0,LB,ACT,"6'3""",235,,6,Wake Forest,broncos,nfl.com,2025-07-21T13:58:17.700892,6.0,13.8,10.5,0.0,63.5,14.1
Bo Nix,10.0,QB,ACT,"6'2""",217,,2,Oregon,broncos,nfl.com,2025-07-21T13:58:17.700732,7.8,5.0,11.6,0.0,79.0,13.7
Jonathon Cooper,,LB,ACT,"6'4""",257,,5,Ohio State,broncos,nfl.com,2025-07-21T13:58:17.700395,6.0,11.5,10.5,0.0,63.5,13.4
Nate Adkins,45.0,TE,ACT,"6'3""",252,,3,South Carolina,broncos,nfl.com,2025-07-21T13:58:17.700290,6.0,6.9,11.6,0.0,74.5,13.3
Lucas Krull,85.0,TE,ACT,"6'6""",260,,3,Pittsburgh,broncos,nfl.com,2025-07-21T13:58:17.700614,6.0,6.9,11.6,0.0,74.5,13.3
Matt Henningsen,91.0,DE,ACT,"6'3""",291,,3,Wisconsin,broncos,nfl.com,2025-07-21T13:58:17.700550,6.0,6.9,10.5,0.0,74.5,13.1
Eyioma Uwazurike,96.0,DT,ACT,"6'6""",320,,3,Iowa State,broncos,nfl.com,2025-07-21T13:58:17.700971,6.0,6.2,10.5,0.0,74.5,12.9
Nik Bonitto,15.0,LB,ACT,"6'3""",240,,4,Oklahoma,broncos,nfl.com,2025-07-21T13:58:17.700363,6.0,9.2,10.5,0.0,63.5,12.7
Jordan Jackson,94.0,DT,ACT,"6'4""",294,,2,Air Force,broncos,nfl.com,2025-07-21T13:58:17.700574,6.0,4.2,10.5,0.0,74.5,12.3
J.K. Dobbins,,RB,ACT,"5'10""",215,,6,Ohio State,broncos,nfl.com,2025-07-21T13:58:17.700434,6.0,12.5,10.5,0.0,48.4,12.2
Marvin Mims Jr.,19.0,WR,ACT,"5'11""",182,,3,Oklahoma,broncos,nfl.com,2025-07-21T13:58:17.700701,7.2,6.2,10.5,0.0,59.5,11.7
Michael Bandy,83.0,WR,ACT,"5'10""",190,,3,San Diego,broncos,nfl.com,2025-07-21T13:58:17.700340,7.2,6.2,10.5,0.0,59.5,11.7
Drew Sanders,41.0,LB,ACT,"6'5""",234,,3,Arkansas,broncos,nfl.com,2025-07-21T13:58:17.700838,6.0,6.9,10.5,0.0,59.5,11.6
Caden Prieskorn,,TE,ACT,"6'5""",255,,R,Mississippi,broncos,nfl.com,2025-07-21T13:58:17.700799,6.0,0.0,11.6,0.0,74.5,11.3
Kristian Williams,75.0,DT,ACT,"6'2""",295,,R,Missouri,broncos,nfl.com,2025-07-21T13:58:17.701025,6.0,0.0,10.5,0.0,75.5,11.2
A.T. Perry,87.0,WR,ACT,"6'5""",205,,2,Wake Forest,broncos,nfl.com,2025-07-21T13:58:17.700755,7.2,4.2,10.5,0.0,59.5,11.1
Devaughn Vele,17.0,WR,ACT,"6'5""",210,,2,Utah,broncos,nfl.com,2025-07-21T13:58:17.700979,7.2,4.2,10.5,0.0,59.5,11.1
Troy Franklin,16.0,WR,ACT,"6'3""",180,,2,Oregon,broncos,nfl.com,2025-07-21T13:58:17.700503,7.2,4.2,10.5,0.0,59.5,11.1
Pat Surtain II,2.0,CB,ACT,"6'2""",202,,5,Alabama,broncos,nfl.com,2025-07-21T13:58:17.700899,6.0,10.4,10.5,0.0,44.0,11.1
Caleb Lohner,84.0,TE,ACT,"6'7""",250,,R,Utah,broncos,nfl.com,2025-07-21T13:58:17.700630,6.0,0.0,11.6,0.0,72.5,11.1
