name,jersey_number,position,status,height,weight,experience,college,team,data_source,scraped_at,data_quality_score
Zay Jones,17.0,WR,ACT,"6'2""",200,9,East Carolina,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Jaylon Jones,37.0,DB,ACT,"5'11""",190,4,Mississippi,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Justin Jones,98.0,DT,ACT,"6'3""",309,8,N.C. State,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Vi Jones,53.0,LB,ACT,"6'2""",225,3,N.C. State,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Bam Knight,35.0,RB,ACT,"5'11""",209,3,N.C. State,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Nick Leverett,60.0,G,ACT,"6'4""",310,5,Rice,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Trey McBride,85.0,TE,ACT,"6'4""",246,4,Colorado State,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Max Melton,16.0,CB,ACT,"5'11""",187,2,Rutgers,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Kyler Murray,1.0,QB,ACT,"5'10""",207,7,Oklahoma,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
PJ Mustipher,79.0,DT,ACT,"6'4""",318,1,Penn State,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Royce Newman,71.0,G,ACT,"6'5""",310,5,Mississippi,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Bilal Nichols,92.0,DT,ACT,"6'3""",313,8,Delaware,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Walter Nolen,97.0,DT,ACT,"6'4""",296,R,Mississippi,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
BJ Ojulari,9.0,LB,ACT,"6'2""",248,3,LSU,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Tejhaun Palmer,83.0,WR,ACT,"6'2""",210,1,UAB,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
Owen Pappoe,44.0,LB,ACT,"6'0""",225,3,Auburn,cardinals,nfl.com,2025-07-20T15:05:00.139239,1.0
